Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance
AMD A10-7850K APU x 1,1,AMD,28,2411,3.7,95,34.1,4,2014,7,173,Desktop,-13.5655034070701
AMD A10-7870K Radeon R7 12 Compute Cores 4C+8G x 1,1,AMD,28,2411,3.9,95,34.1,4,2015,8,137,Desktop,-14.4566111783601
AMD A6-3410MX APU x 1,1,AMD,32,1178,1.6,45,25.6,4,2011,4,295,Mobile,-26.9010143368265
AMD Athlon 3000G x 1,1,AMD,14,4950,3.5,35,42.7,2,2019,12,49,Desktop,-6.41775576846428
AMD EPYC 4124P x 1,1,AMD,5,6570,3.8,65,83.2,4,2024,17,149,Server/Workstation,2.07152645285704
AMD EPYC 4244P x 1,1,AMD,5,6570,3.8,65,83.2,6,2024,17,229,Server/Workstation,2.51879061077778
AMD EPYC 4245P x 1,1,AMD,4,8315,3.9,65,89.6,6,2025,18,239,Server/Workstation,5.46399389499082
AMD EPYC 4344P x 1,1,AMD,5,6570,3.8,65,83.2,8,2024,17,329,Server/Workstation,3.10502887443164
AMD EPYC 4345P x 1,1,AMD,4,8315,3.8,65,89.6,8,2025,18,329,Server/Workstation,6.20395881242712
AMD EPYC 4364P x 1,1,AMD,5,6570,4.5,105,83.2,8,2024,17,399,Server/Workstation,3.91162943097064
AMD EPYC 4464P x 1,1,AMD,5,13140,3.7,65,83.2,12,2024,17,429,Server/Workstation,4.27877349727865
AMD EPYC 4465P x 1,1,AMD,4,16630,3.4,65,89.6,12,2025,18,399,Server/Workstation,6.87895763401862
AMD EPYC 4484PX x 1,1,AMD,5,17840,4.4,120,83.2,12,2024,17,599,Server/Workstation,4.82601221321092
AMD EPYC 4545P x 1,1,AMD,4,16630,3,65,89.6,16,2025,18,549,Server/Workstation,7.18692945529218
AMD EPYC 4564P x 1,1,AMD,5,13140,4.5,170,83.2,16,2024,17,699,Server/Workstation,4.93179458451363
AMD EPYC 4565P x 1,1,AMD,4,16630,4.3,170,89.6,16,2025,18,589,Server/Workstation,7.50917768165996
AMD EPYC 4584PX x 1,1,AMD,5,17840,4.2,120,83.2,16,2024,17,699,Server/Workstation,5.08142453582233
AMD EPYC 4585PX x 1,1,AMD,4,16630,4.3,170,89.6,16,2025,18,699,Server/Workstation,8.60897923019122
AMD EPYC 7232P x 1,1,AMD,7,7600,3.1,120,85.3,8,2019,12,450,Server/Workstation,-1.12307451719471
AMD EPYC 7251 x 1,1,AMD,14,4800,2.1,120,153.6,8,2017,10,574,Server/Workstation,-3.54176127260868
AMD EPYC 7252 x 1,1,AMD,7,7600,3.1,120,85.3,8,2019,12,475,Server/Workstation,-2.27368079502458
AMD EPYC 7262 x 1,1,AMD,7,15200,3.2,155,204.8,8,2019,12,575,Server/Workstation,-2.04844449054045
AMD EPYC 7272 x 1,1,AMD,7,7600,2.9,120,85.3,12,2019,12,625,Server/Workstation,-0.848356640609942
AMD EPYC 7282 x 1,1,AMD,7,7600,2.8,120,85.3,16,2019,12,650,Server/Workstation,-0.292683144253763
AMD EPYC 72F3 x 1,1,AMD,7,33200,3.7,180,204.8,8,2021,14,2468,Server/Workstation,0.874458543409786
